#Clutter

// ------------------------------------------------
// Kava New - Goober
// ------------------------------------------------


//$Class Name:           "Mesh Test"
//$V3D Filename:         "meshtest.v3d"
//$Material:             "rock"
//$Life:                 -1
//$Flags:                ("collide_object")
//$RFE Level1:	       "Kava"

$Light Algo:           "linear"
$Light Color:          {248,252,184,255} 
$Light On Intensity:	1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.08
$Skin:                 "Amber"         ("MineLight01.tga")
$Skin:                 "Blue"          ("MineLight01Blue.tga")

$Class Name:           "Mine Light 2"
$V3D Filename:         "MineLight02.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 160
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .7
$Glare:					  "CoolWedge01_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          .58
$Light Algo:           "linear"
$Light Color:          {248,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.04

$Class Name:           "minelight03"
$V3D Filename:         "minelight03.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					  "minelt03glare"
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	        "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          .32
$Light Algo:           "linear"
$Light Color:          {248,252,184,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.08

$Class Name:           "Mine Light 3"
$V3D Filename:         "minelight03.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					  "minelt03glare"
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	        "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          .32
$Light Algo:           "linear"
$Light Color:          {248,252,184,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.08

$Class Name:           "Mine Light 4"
$V3D Filename:         "MineLight04.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .6
$Glare:					  "CoolWedge01_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Tube"
$Light Range:          .24
$Light Algo:           "linear"
$Light Width:          1.23
$Light Color:          {248,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false


$Class Name:           "Double Mine Light 4"
$V3D Filename:         "Double_MineLight04.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					  "CoolWedge01_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Tube"
$Light Range:          .24
$Light Algo:           "linear"
$Light Width:          1.23
$Light Color:          {248,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false`l

$Class Name:           "Mine Light 5"
$V3D Filename:         "LightFixture02D.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 160
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .5
$Glare:					  "CoolWedge01_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          .25
$Light Algo:           "linear"
$Light Color:          {255,192,248,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.14
$Skin:                 "blue"         ("LightFix02blu_Parts02.tga")
$Skin:                 "green"        ("LightFix02green_Parts02.tga")

$Class Name:           "BIGcanyon_Light01"
$V3D Filename:         "BIGcanyon_Light01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Material:             "metal"
$Life:                 200
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .8
$Glare:					  "BIGcanyon_Light01_Glow"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          .25
$Light Algo:           "linear"
$Light Color:          {255,192,248,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.14

$Class Name:           "Mine Light 6"
$V3D Filename:         "LightFixture01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 140
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .6
$Glare:					  "WarmWedge01_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Tube"
$Light Range:          .25
$Light Algo:           "linear"
$Light Color:          {248,252,184,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.0
$Skin:                 "Yellow"        ("LightFix01_Parts01.tga")
$Skin:                 "Blue"          ("LightFix01_Parts02.tga")

$Class Name:           "Tube Light"
$V3D Filename:         "halllight01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "glass"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					  "WarmWedge01_NoVolume"
//$Rod Glare:				  "Tube Light Rod Glare"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Tube"
$Light Range:          .25
$Light Algo:           "linear"
$Light Color:          {232,252,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.0
$Skin:                 "Blue"          ("halllight2.tga")

$Class Name:           "Tube Light 2"
$V3D Filename:         "halllight02.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .6
$Glare:					  "CoolWedge01_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Tube"
$Light Range:          .24
$Light Algo:           "linear"
$Light Width:          1.23
$Light Color:          {248,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false


$Class Name:           "Tube Light No Glare"
$V3D Filename:         "halllight01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "glass"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Tube"
$Light Range:          .25
$Light Algo:           "linear"
$Light Color:          {255,249,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.0

$Class Name:           "Mine Light 8"
$V3D Filename:         "LightFixture_Red01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 160
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					  "RedWedge01_NoVolume_Small"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          .25
$Light Algo:           "linear"
$Light Color:          {255,0,0,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.14
$Skin:                 "Red"         ("LightFix_Red01_P01.tga")
$Skin:                 "Blue"        ("LightFix_Blue01_P01.tga")
 +Glare:             "CoolWedge01_NoVolume_Small"
$Skin:                 "Amber"       ("LightFix_Amber01_P01.tga")
 +Glare:             "AmberWedge01_NoVolume_Small"
$Skin:                 "Yellow"      ("LightFix_Yellow01_P01.tga")
 +Glare:             "AmberWedge01_NoVolume_Small"
$Skin:                 "Green"       ("LightFix_Green01_P01.tga")
 +Glare:             "GreenWedge01_NoVolume_Small"
$Skin:                 "Pale"        ("LightFix_Pale01_P01.tga")
 +Glare:             "CoolWedge01_NoVolume_Small"

$Class Name:           "Wedge Light 1"
$V3D Filename:         "WedgeLight01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 120
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					  "CoolWedge01_SmallCone_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Circular"
$Light Range:          40
$Light FOV Range:      1.00
$Light FOV Dropoff:    1.00
$Light Algo:           "linear"
$Light Color:          {232,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.04

$Class Name:           "Wedge LightRED"
$V3D Filename:         "WedgeLight01RED.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 120
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					  "CoolWedge01_SmallCone_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Circular"
$Light Range:          40
$Light FOV Range:      1.00
$Light FOV Dropoff:    1.00
$Light Algo:           "linear"
$Light Color:          {232,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.04

$Class Name:           "Wedge Light 2"
$V3D Filename:         "WedgeLight02.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 120
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Circular"
$Light Range:          40
$Light FOV Range:      1.00
$Light FOV Dropoff:    1.00  
$Light Algo:           "linear"
$Light Color:          {232,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.04

$Class Name:           "Wedge Light 3"
$V3D Filename:         "WedgeLight03.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 120
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
//$Glare:					  "Shoplight01_Glare01_WIDE"
$Glare:					  "CoolWedge01_SmallCone_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Circular"
$Light Range:          40
$Light FOV Range:      1.00
$Light FOV Dropoff:    1.00  
$Light Algo:           "linear"
$Light Color:          {232,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.04

$Class Name:           "Wedge Light 3b"
$V3D Filename:         "WedgeLight03b.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 120
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					  "CoolWedge01_SmallCone_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Circular"
$Light Range:          40
$Light FOV Range:      1.00
$Light FOV Dropoff:    1.00  
$Light Algo:           "linear"
$Light Color:          {232,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.04

$Class Name:           "Wedge_Wide01"
$V3D Filename:         "Wedge_Wide01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 120
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .8
$Glare:					  "CoolWedge02_SmallCone_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Circular"
$Light Range:          40
$Light FOV Range:      1.00
$Light FOV Dropoff:    1.00  
$Light Algo:           "linear"
$Light Color:          {232,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.04

$Class Name:           "Wedge Light 4"
$V3D Filename:         "WedgeLight04.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 120
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Circular"
$Light Range:          40
$Light FOV Range:      1.00
$Light FOV Dropoff:    1.00  
$Light Algo:           "linear"
$Light Color:          {232,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.04

$Class Name:           "Pole_Light_1_Dirty"
$V3D Filename:         "PoleLight01_Dirty.V3D"
$Material:             "metal"
$Life:                 500
$Glare:					  "BigBeamLight_Glare02_Widest"
$Flags:                ("collide_object")
$RFE Level1:	        "Lights"
$Light Type:           "Circular"
$Light Range:          15
$Light FOV Range:      45.00
$Light FOV Dropoff:    25.00  
$Light Algo:           "linear"
$Light Color:          {232,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.00

$Class Name:           "Long Light 1"
$V3D Filename:         "LongLight01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:				"yellboom_metal"
$Explode Anim Radius:  .4
$Glare:					  "CoolWedge01_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          2
$Light Algo:           "linear"
$Light Color:          {255,255,255,255} 
$Light On Intensity:   0.85
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false

$Class Name:           "Glare Test Fixture"
$V3D Filename:         "MineLight01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 20
$Glare:					  "TestGlare01"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          2
$Light Algo:           "linear"
$Light Color:          {255,255,128,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false

$Class Name:           "Cargo Ship Light"
$V3D Filename:         "Cargoship_Light.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 180
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .6
$Glare:					  "TestGlare04"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Circular"
$Light Range:          40
$Light FOV Range:      1.00
$Light FOV Dropoff:    1.00
$Light Algo:           "linear"
$Light Color:          {232,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.04

$Class Name:           "RedBarLight"
$V3D Filename:         "RedBarLight.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .6
$Glare:					  "RedWedge01_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          4
$Light FOV Range:      1.00
$Light FOV Dropoff:    1.00  
$Light Algo:           "linear"
$Light Color:          {232,1,1,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.04
$Skin:                 "Red"        ("LightFix04_Red_P01.tga")
$Skin:                 "Blue"       ("LightFix04_Blue_P01.tga")
 +Glare:             "CoolWedge01_NoVolume"
$Skin:                 "Light Blue" ("LightFix04_BlueA_P01.tga")
 +Glare:			 "CoolWedge01_NoVolume"
$Skin:                 "Amber"      ("LightFix04_Amber_P01.tga")
 +Glare:             "WarmWedge01_NoVolume"
$Skin:                 "Yellow"     ("LightFix04_Yellow_P01.tga")
//$Skin:                 "Green"      ("LightFix04_Green_P01.tga")
$Skin:                 "Pale"       ("LightFix04_Pale_P01.tga")
 +Glare:             "CoolWedge01_NoVolume"
		
$Class Name:           "SlatLight01"
$V3D Filename:         "SlatLight01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Material:             "metal"
$Life:                 120
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .6
$Glare:					  "SlatLight01_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Skin:                 "Amber"      ("SlatLight01_P01.tga")
$Skin:                 "Blue"      ("SlatLight01_P01_Blue.tga")
 +Glare:             "CoolWedge01_NoVolume"
$Skin:                 "Blue"      ("SlatLightBlue_01.tga")
 +Glare:             "CoolWedge01_NoVolume"  

$Class Name:           "Port_Light01"
$V3D Filename:         "Port_Light01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 150
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .4
$Glare:					  "CoolSpot_WideBeam"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Circular"
$Light Range:          200
$Light FOV Range:      1.00
$Light FOV Dropoff:    1.00  
$Light Algo:           "linear"
$Light Color:          {232,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.04

$Class Name:      "Spotlight01"
$V3D Filename:    "spotlight01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Material:        "metal"
$Life:            40
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .1
$Glare:					  "Shoplight01_Glare01_WIDE"
$Flags:           ("collide_weapon")
$Debris Velocity:      1.5
$RFE Level1:	        "Lights"
$Light Type:           "Circular"
$Light Range:          200
$Light FOV Range:      1.00
$Light FOV Dropoff:    1.00  
$Light Algo:           "linear"
$Light Color:          {232,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.04

$Class Name:      "Spotlight03"
$V3D Filename:    "spotlight03.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Material:        "metal"
$Life:            40
$Glare:					  "Shoplight01_Glare01_WIDE"
$Flags:           ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Circular"
$Light Range:          200
$Light FOV Range:      1.00
$Light FOV Dropoff:    1.00  
$Light Algo:           "linear"
$Light Color:          {232,255,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         -0.04

$Class Name:           "OfficeLight_Lg01"
$V3D Filename:         "LightFixture_OfficeLarge01.V3D"
$Debris Filename:      "LightFix_OffLge01_Debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "glass"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .9
$Glare:					  "CoolWedge02_LG_NoVolume"
$Flags:                ()
$RFE Level1:	        "Lights"
$Light Type:           "Tube"
$Light Range:          .25
$Light Algo:           "linear"
$Light Color:          {232,252,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.0

$Class Name:           "OfficeLight_Lg01F"
$V3D Filename:         "LightFixture_OfficeLarge01F.V3D"
$Debris Filename:      "LightFix_OffLge01_Debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "glass"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .9
$Glare:					  "CoolWedge02_LG_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Tube"
$Light Range:          .25
$Light Algo:           "linear"
$Light Color:          {232,252,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.0

$Class Name:           "OfficeLightCan01"
$V3D Filename:         "LightOfficeCan01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Material:             "metal"
$Life:                 100
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .9
$Flags:                ()
$RFE Level1:	        "Lights"

$Class Name:           "OfficeLightCan01_Single"
$V3D Filename:         "LightOfficeCan01_Single.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Material:             "glass"
$Life:                 40
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .6
$Flags:                ()
$RFE Level1:	        "Lights"

$Class Name:           "OfficeLightCan01_Tripleplay"
$V3D Filename:         "LightOfficeCan01_Tripleplay.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Material:             "glass"
$Life:                 75
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .7
$Flags:                ()
$RFE Level1:	        "Lights"

$Class Name:           "OfficeLightCan01_Quad"
$V3D Filename:         "LightOfficeCan01_Quad.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Material:             "glass"
$Life:                 100
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .9
$Flags:                ()
$RFE Level1:	        "Lights"

$Class Name:           "OfficeLightCan01_Zwei"
$V3D Filename:         "LightOfficeCan01_Zwei.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Material:             "glass"
$Life:                 55
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .6
$Flags:                ()
$RFE Level1:	        "Lights"

$Class Name:					"Ball Light01"
$V3D Filename:					"balllight01.v3d"
$Debris Filename:				"ballight_debris.V3D"
$Debris Sound Set:			"small debris bounce"
$Material:						"metal"
$Life:							40
$Explode Anim:					"yellboom"
$Explode Anim Radius:		    0.5
$Glare:							"CoolWedge01_SmallCone_NoVolume"
$Flags:							("collide_weapon")
$RFE Level1:					"Lights"
$Light Type:					"Tube"
$Light Range:					.25
$Light Algo:					"linear"
$Light Color:					{232,252,255,255} 
$Light On Intensity:			1.00
$Light Dynamic:				false
$Light Shadow:					true
$Light Runtime Shadow:		false
$Light Offset:					0.0
$Skin:                 "red"         ("light_fixture3.tga")
	+Glare:             "Light_RedLargeGlo01"
$Skin:                 "Blue"          ("light_fixture4.tga")
	+Glare:             "CoolWedge01_NoVolume_Small"

$Class Name:           "Admin_PoshLight01"
$V3D Filename:         "Admin_PoshLight01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 200
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .55
$Glare:					  "WarmWedge01_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Tube"
$Light Range:          .25
$Light Algo:           "linear"
$Light Color:          {232,252,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.0
$Skin:                 "red"         ("Admin_PoshLight03_P01.tga")
	+Glare:		           "Light_RedLargeGlo01"
$Skin:                 "Blue"          ("Admin_PoshLight02_P01.tga")
	+Glare:             "CoolWedge01_NoVolume_Small"

$Class Name:           "BigBeamLight01"
$V3D Filename:         "BigBeamLight01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 200
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .8
$Glare:					  "BigBeamLight_Glare01"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"

$Class Name:           "RunwayLight01"
$V3D Filename:         "RunwayLight01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .3
$Glare:					  "RedWedge01_NoVolume_Small"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Skin:                 "Yellowish"     ("RunwayLight01_P01_Yellowish.tga")
$Skin:                 "Blue"          ("RunwayLight01_P01_Blue.tga")

$Class Name:			  "BigBeamLight01_SmallBeam"
$V3D Filename:         "BigBeamLight01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 200
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .8
$Glare:					  "BigBeamLight_Glare01_SmallBeam"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"

$Class Name:           "RunwayLight01_Kava"
$V3D Filename:         "RunwayLight01_Larger.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 150
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .3
//$Glare:					  "RedWedge01_NoVolume_Small"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"

$Class Name:           "RunwayLight01_Larger"
$V3D Filename:         "RunwayLight01_Larger.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .3
$Glare:					  "RedWedge01_NoVolume_Small"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Skin:                 "Yellowish"     ("RunwayLight01_P01_Yellowish.tga")
	+Glare:             "WarmWedge01_NoVolume"
$Skin:                 "Blue"          ("RunwayLight01_P01_Blue.tga")
	+Glare:             "CoolWedge01_NoVolume_Small"

$Class Name:           "ShopLight01"
$V3D Filename:         "ShopLight01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 160
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .6
$Glare:					  "Shoplight01_Glare01"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"

$Class Name:           "ShopLight01_WIDE"
$V3D Filename:         "ShopLight01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 160
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .6
$Glare:					  "Shoplight01_Glare01_WIDE"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"

$Class Name:           "ShopLight01_WIDE_LONG"
$V3D Filename:         "ShopLight01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 160
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .6
$Glare:					  "Shoplight01_Glare01_WIDE_LONG"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"

$Class Name:           "ShopLight01_WARM_WIDE"
